,apartment_type,district,agency,size,floor,year_built,station_distance,cost
0,1LDK SERVICED APARTMENT,"IN ROPPONGI
MINATO-KU, TOKYO",H2O Japan Property,Size 50.50 m²,Floor 11 / 14F,Year Built 2007,Roppongi Station (6 min. walk),"Monthly Costs ¥525,000"
1,1DK SERVICED APARTMENT,"IN ROPPONGI
MINATO-KU, TOKYO",H2O Japan Property,Size 29.20 m²,Floor 3 / 14F,Year Built 2007,Roppongi Station (6 min. walk),"Monthly Costs ¥288,000"
2,1LDK SERVICED APARTMENT,"IN NISHIIKEBUKURO
TOSHIMA-KU, TOKYO",H2O Japan Property,Size 35.40 m²,Floor 16 / 26F,Year Built 2007,Ikebukuro Station (2 min. walk),"Monthly Costs ¥297,000"
3,1LDK SERVICED APARTMENT,"IN NISHIIKEBUKURO
TOSHIMA-KU, TOKYO",H2O Japan Property,Size 37.90 m²,Floor 16 / 26F,Year Built 2007,Ikebukuro Station (2 min. walk),"Monthly Costs ¥324,000"
4,1K SERVICED APARTMENT,"IN ROPPONGI
MINATO-KU, TOKYO",H2O Japan Property,Size 25.40 m²,Floor 3 / 14F,Year Built 2007,Roppongi Station (6 min. walk),"Monthly Costs ¥225,000"
5,1K APARTMENT,"IN HAMAMATSUCHO
MINATO-KU, TOKYO","HASEKO LIVENET, Inc.",Size 22.00 m²,Floor 4 / 7F,Year Built 2018,Daimon Station (3 min. walk),"Monthly Costs ¥255,000 negotiable"
6,1K APARTMENT,"IN HOMMACHI
SHIBUYA-KU, TOKYO",NOW ROOM,Size 17.00 m²,Floor 4 / 4F,Year Built 1990,Nishishinjuku Go Choume Station (5 min. walk),"Monthly Costs ¥130,200"
7,1R APARTMENT,"IN HYAKUNINCHO
SHINJUKU-KU, TOKYO",NOW ROOM,Size 30.00 m²,Floor 10 / 10F,Year Built 1989,Okubo Station (3 min. walk),"Monthly Costs ¥175,000"
8,1K APARTMENT,"IN ASAKUSA
TAITO-KU, TOKYO",matsuri technologies,Size 20.15 m²,Floor 2 / 5F,Year Built 2019,Asakusa Station (12 min. walk),"Monthly Costs ¥139,500"
9,2DK APARTMENT,"IN CHUO
NAKANO-KU, TOKYO",Fontana,Size 40.00 m²,Floor 5 / 5F,Year Built 1978,Shinnakano Station (4 min. walk),"Monthly Costs ¥152,000"
10,1K APARTMENT,"IN DOGENZAKA
SHIBUYA-KU, TOKYO",NOW ROOM,Size 20.00 m²,Floor 4 / 4F,Year Built 2000,Shibuya Station (4 min. walk),"Monthly Costs ¥165,000"
